SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,"HL13B4,HL13B5,HTL13B2,HTL13D1",,,,,-,回折格子形成_EB露光_PITCH_B4B5,回折格子形成_EB露光_PITCH_B4B5,,
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,"HL13B7,HL13B8",,,,,-,回折格子形成_EB露光_PITCH_B7B8,回折格子形成_EB露光_PITCH_B7B8,,
GRATING_EB-PITCH,STARTTIME,EB-PITCH.Average,STARTTIME,1/1/2019,1/1/2100,-,,,,,-,回折格子形成_EB露光_PITCH,回折格子形成_EB露光_PITCH,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F1LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.063,-,F1LD_B4B5_TEM_多層CHK InP膜厚比率,F1LD_B4B5_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.0628,-,F1LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.9362,0.97,1.03,1.0628,-,F1LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.98,1.02,1.0414,-,F1LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.983,1.017,1.0358,-,F1LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F1LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F1LD_B4B5,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,291.1,,,325.3,-,F1LD_B4B5_TEM_多層CHK 活性層膜厚,F1LD_B4B5_TEM_多層CHK 活性層膜厚,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F1LD_B7B8_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.063,-,F1LD_B7B8_TEM_多層CHK InP膜厚比率,F1LD_B7B8_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.937,0.97,1.03,1.0628,-,F1LD_B7B8_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.9362,0.97,1.03,1.0628,-,F1LD_B7B8_TEM_多層CHK InGaAsP 下1.03膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.98,1.02,1.0414,-,F1LD_B7B8_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.9586,0.983,1.017,1.0358,-,F1LD_B7B8_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F1LD_B7B8_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F1LD_B7B8,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,291.1,,,325.3,-,F1LD_B7B8_TEM_多層CHK 活性層膜厚,F1LD_B7B8_TEM_多層CHK 活性層膜厚,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InP膜厚比率,F2LD_B4B5_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F2LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.96,0.98,1.02,1.04,-,F2LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.966,0.983,1.017,1.034,-,F2LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F2LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F2LD_B4B5,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,303.1,,,337.4,-,F2LD_B4B5_TEM_多層CHK 活性層膜厚,F2LD_B4B5_TEM_多層CHK 活性層膜厚,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP115_GR_Ratio.Ratio4,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP1_15 GR膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InP_Ratio.Ratio3,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InP膜厚比率,F6LD_B4B5_TEM_多層CHK InP膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP103_upper_SCH_Ratio.Ratio6,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP1.03 上SCH膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP_under_103_Ratio.Ratio9,STARTTIME,1/1/2019,1/1/2100,-,0.94,0.97,1.03,1.06,-,F6LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP 下1.03膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP_Barrier_Ratio.Ratio7,STARTTIME,1/1/2019,1/1/2100,-,0.96,0.98,1.02,1.04,-,F6LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP(ﾊﾞﾘｱ)膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,InGaAsP_Well_Ratio.Ratio8,STARTTIME,1/1/2019,1/1/2100,-,0.966,0.983,1.017,1.034,-,F6LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,F6LD_B4B5_TEM_多層CHK InGaAsP(ｳｪﾙ)膜厚比率,,
TEM_Ana_F6LD_B4B5,STARTTIME,Active_Thickness.Thickness,STARTTIME,1/1/2019,1/1/2100,-,291.1,,,325.3,-,F6LD_B4B5_TEM_多層CHK 活性層膜厚,F6LD_B4B5_TEM_多層CHK 活性層膜厚,,
