SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13BE,0.34,,,0.44,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13BE,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13BE,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13BFCP,0.34,,,0.44,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13BFCP,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13BFCP,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13BS,0.34,,,0.44,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13BS,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13BS,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13CG,0.41,,,0.51,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13CG,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13CG,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HTL139S,0.35,,,0.45,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HTL139S,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HTL139S,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13B4,0.35,,,0.45,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13B4,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13B4,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13B5,0.35,,,0.45,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13B5,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13B5,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13B6,0.35,,,0.45,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13B6,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL13B6,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL15B5,0.33,,,0.43,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL15B5,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HL15B5,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HTL13B2,0.35,,,0.45,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HTL13B2,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HTL13B2,,OK
GRATING_CVD_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HTL13D1,0.35,,,0.45,-,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HTL13D1,回折格子形成 回折格子CVDエッチ Duty 面内分布平均_HTL13D1,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL1362,,,,,-,回折格子エッチング Duty 面内分布平均_HL1362,回折格子エッチング Duty 面内分布平均_HL1362,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL1363,0.35,,,0.55,-,回折格子エッチング Duty 面内分布平均_HL1363,回折格子エッチング Duty 面内分布平均_HL1363,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL1364,,,,,-,回折格子エッチング Duty 面内分布平均_HL1364,回折格子エッチング Duty 面内分布平均_HL1364,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13BE,0.35,,,0.55,-,回折格子エッチング Duty 面内分布平均_HL13BE,回折格子エッチング Duty 面内分布平均_HL13BE,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13BFCP,0.35,,,0.55,-,回折格子エッチング Duty 面内分布平均_HL13BFCP,回折格子エッチング Duty 面内分布平均_HL13BFCP,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13BS,0.35,,,0.55,-,回折格子エッチング Duty 面内分布平均_HL13BS,回折格子エッチング Duty 面内分布平均_HL13BS,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13CG,0.4,,,0.6,-,回折格子エッチング Duty 面内分布平均_HL13CG,回折格子エッチング Duty 面内分布平均_HL13CG,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HTL139S,0.35,,,0.55,-,回折格子エッチング Duty 面内分布平均_HTL139S,回折格子エッチング Duty 面内分布平均_HTL139S,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13B4,0.38,,,0.52,-,回折格子エッチング Duty 面内分布平均_HL13B4,回折格子エッチング Duty 面内分布平均_HL13B4,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13B5,0.38,,,0.52,-,回折格子エッチング Duty 面内分布平均_HL13B5,回折格子エッチング Duty 面内分布平均_HL13B5,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL13B6,0.37,,,0.51,-,回折格子エッチング Duty 面内分布平均_HL13B6,回折格子エッチング Duty 面内分布平均_HL13B6,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HL15B5,0.36,,,0.5,-,回折格子エッチング Duty 面内分布平均_HL15B5,回折格子エッチング Duty 面内分布平均_HL15B5,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HTL13B2,0.38,,,0.52,-,回折格子エッチング Duty 面内分布平均_HTL13B2,回折格子エッチング Duty 面内分布平均_HTL13B2,,OK
GRATING_Crystal_Duty,STARTTIME,Average.Duty,STARTTIME,1/1/2010,1/1/2100,HTL13D1,0.38,,,0.52,-,回折格子エッチング Duty 面内分布平均_HTL13D1,回折格子エッチング Duty 面内分布平均_HTL13D1,,OK
PIX_PIX_Thickness,STARTTIME,PIX.PIX_Ave,STARTTIME,1/1/2010,1/1/2100,-,2000,2300,2700,3000,-,PIX形成 PIX塗布 膜厚,PIX形成 PIX塗布 膜厚,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL1362,,,,,-,メサ形成 SiO2ドライエッチング寸法検査_HL1362,メサ形成 SiO2ドライエッチング寸法検査_HL1362,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL1363,1.62,,,1.82,-,メサ形成 SiO2ドライエッチング寸法検査_HL1363,メサ形成 SiO2ドライエッチング寸法検査_HL1363,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL1364,,,,,-,メサ形成 SiO2ドライエッチング寸法検査_HL1364,メサ形成 SiO2ドライエッチング寸法検査_HL1364,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL13BE,1.52,,,1.72,-,メサ形成 SiO2ドライエッチング寸法検査_HL13BE,メサ形成 SiO2ドライエッチング寸法検査_HL13BE,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL13BFCP,1.53,,,1.73,-,メサ形成 SiO2ドライエッチング寸法検査_HL13BFCP,メサ形成 SiO2ドライエッチング寸法検査_HL13BFCP,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL13BS,1.53,,,1.73,-,メサ形成 SiO2ドライエッチング寸法検査_HL13BS,メサ形成 SiO2ドライエッチング寸法検査_HL13BS,,OK
MESA_CVD_Width,STARTTIME,Width_Average,STARTTIME,1/1/2010,1/1/2100,HL13CG,1.48,,,1.68,-,メサ形成 SiO2ドライエッチング寸法検査_HL13CG,メサ形成 SiO2ドライエッチング寸法検査_HL13CG,,OK
